System	Z_Lens	Chi2	Pos_RMS	Mag_RMS	Avg_Flux_Err_%	Lens_Params	Source_Params	TD_RMS  No_Z_Lens_Flag
2M1134	0.66	54.19776	0.018132705258730727	0.40963879515983354	103.38293175891046	{'sie': [0.66, 331.9945, 1.116217, 1.650891, 0.8953266, 43.34766, 0.0, 0.0]}	[[2.77, 1.242015, 1.375779]]	None	False
GRAL1131	0.472	23.48479	0.012287290181321504	11.1987309042141	484.40417763157893	{'sie': [0.472, 246.6931, -0.07993289, 0.7755155, 0.176537, -4.69478, 0.0, 0.0]}	[[1.09, -0.1084015, 0.8158487]]	None	False
H1413	0.5	79.22183	0.022352516636835313	1.7341334096602832	304.91863445378146	{'sie': [0.017, 149.5226, 0.1857657, 0.5696933, 0.4749573, -21.72772, 0.0, 0.0]}	[[2.56, 0.1590608, 0.5305921]]	None	True
HE0435	0.46	0.6946705	0.0020736441353327605	2.707844898161636	393.5289158623352	{'sie': [0.46, 260.5275, -1.169118, -0.5994522, 0.3625883, 13.83639, 0.0, 0.0]}	[[1.69, -1.180782, -0.5247751]]	None	False
B2045	0.87	1.797338	0.00333541601603158	2.28527726600078	541.3583431995773	{'sie': [0.87, 281.4163, 0.7156466, 1.147328, 0.5963201, 32.08911, 0.0, 0.0]}	[[2.35, 0.7647268, 0.8469492]]	None	False
HE1113	0.75	0.8134543	0.0022544400635190797	6.464584417230546	883.264187615217	{'sie': [0.75, 192.4788, -0.3172922, 0.1463995, 0.2015649, -37.5432, 0.0, 0.0]}	[[1.24, -0.3061907, 0.1527492]]	None	False
HS0810	0.5	6.040524	0.006155891487022809	23.369899444584696	3991.254994388328	{'sie': [0.4086, 163.2087, 0.4669178, 0.1665707, 0.1540127, -26.12184, 0.0, 0.0]}	[[1.506, 0.4625399, 0.1360602]]	None	True
J0245	0.5	7.377067e-08	0.0	0.22111979784723024	221.34735294117647	{'sie': [0.5, 269.0425, 0.5645469, -0.7586668, 0.610595, 36.45041, 0.0, 0.0]}	[[1.54, 0.5705221, -0.7609214]]	None	True
J0248	0.5	690.4239	0.1349867493497047	147.32437223927852	12194.183795018595	{'sie': [0.7501, 225.1363, -0.3054185, 0.7745689, 0.01495955, 120.2868, 0.0, 0.0]}	[[2.43, -0.3046808, 0.7710477]]	None	True
J0246	0.5	1.062062e-06	0.0	3.716817728245495	471.9729310344828	{'sie': [0.7208, 193.9188, 0.011, -0.709, 0.2339875, 9.380039, 0.0, 0.0]}	[[1.86, -0.006892318, -0.5000954]]	None	True
J0259	0.904	14.61985	0.009589838371943486	3.0610820864524366	355.9889575830332	{'sie': [0.904, 245.1256, 0.04967249, 0.6999153, 0.3376078, -19.45276, 0.0, 0.0]}	[[2.16, -0.006060453, 0.7067535]]	None	False
J0457	0.5	1.52511e-06	0.0	4.295284751523078	560.2139406207828	{'sie': [1.0442, 545.8867, 4.882971, -3.531515, 0.6724123, 57.73709, 0.0, 0.0]}	[[3.15, 2.336582, -2.003663]]	None	True
J0607	0.55	205.9336	0.04321492797633704	680.3077195531482	30425.347102184023	{'sie': [0.55, 241.7702, -0.4846494, 0.6835724, 0.001654126, -76.05113, 0.0, 0.0]}	[[1.302, -0.4841924, 0.6833581]]	None	False
J0608	0.5	3.663442	0.004815599651133804	12.641774231985794	2244.1945418597807	{'sie': [1.0079, 230.2503, 0.6177989, 0.01765235, 0.1646218, -18.33749, 0.0, 0.0]}	[[2.345, 0.6425976, -0.004786134]]	None	True
J0659	0.766	865.3316	0.3903925140163424	1147.2117702311875	87354.54999504196	{'sie': [0.766, 390.7724, -2.360116, 0.8245137, 0.003903931, 28.08602, 0.0, 0.0]}	[[3.083, -2.364604, 0.822447]]	None	False
J0803	0.5	5.119789	0.005665686189686111	2.2408387904978797	365.5613525654164	{'sie': [0.9231, 206.1971, -0.6524569, 0.07653506, 0.5947506, -82.63554, 0.0, 0.0]}	[[2.97, -0.4984888, 0.1641072]]	None	True
J0924	0.39	33.92047	0.014598201944075155	5.383498233955315	1863.9868681318683	{'sie': [0.39, 216.047, -0.1974918, -0.8306311, 0.3041432, 95.83517, 0.0, 0.0]}	[[1.52, -0.1522761, -0.9012931]]	None	False
J1042	0.5985	1.794786	0.003368976105584562	18.911885304815595	7810.886371567505	{'sie': [0.5985, 221.8684, -0.8345012, -0.08650933, 0.1639846, -39.55256, 0.0, 0.0]}	[[2.517, -0.8880582, -0.03921737]]	None	False
J1251	0.41	3.307772	0.004572745346069464	5.912830397322419	1049.4645824782565	{'sie': [0.41, 264.3991, 1.134547, -0.3395873, 0.4887358, -17.11584, 0.0, 0.0]}	[[0.802, 0.8963259, -0.2691741]]	None	False
J1537	0.592	3.431366	0.004648924606831157	1.0461027088675376	194.59170804794522	{'sie': [0.592, 312.5082, -1.437798, 0.7020529, 0.5994124, 149.7092, 0.0, 0.0]}	[[1.721, -1.456611, 0.7662492]]	None	False
J2017	0.201	7.530185	0.00685072988812139	1.6941524414880735	203.70515643948582	{'sie': [0.201, 150.7417, 0.4422309, -0.07065163, 0.4616574, 97.24517, 0.0, 0.0]}	[[1.72, 0.4722007, -0.1414954]]	None	False

J2145	0.5	1.79734	0.00333541601603158	2.2852554069512667	541.3482625544161	{'sie': [0.264, 221.6357, 0.7156429, 1.147329, 0.5963205, 32.09011, 0.0, 0.0]}	[[1.56, 0.7647257, 0.8469452]]	None	True
